Round,Date,Colony,Treatment,New Egg batches,Colony Mass 
Round1,0,col1,c,,726
Round1,0,col2,db,,741
Round1,0,col3,db,,733
Round1,0,col4,nb,,737
Round1,0,col5,c,,751
Round1,0,col6,nb,,753
Round1,0,col7,nb,,723
Round1,0,col8,db,,762
Round1,1,col1,c,,731
Round1,1,col2,db,,815
Round1,1,col3,db,,815
Round1,1,col4,nb,,679
Round1,1,col5,c,,759
Round1,1,col6,nb,,693
Round1,1,col7,nb,,645
Round1,1,col8,db,,833
Round1,2,col1,c,2,728
Round1,2,col2,db,0,820
Round1,2,col3,db,6,827
Round1,2,col4,nb,2,680
Round1,2,col5,c,5,762
Round1,2,col6,nb,4,686
Round1,2,col7,nb,7,643
Round1,2,col8,db,4,833
Round1,3,col1,c,5,
Round1,3,col2,db,3,
Round1,3,col3,db,7,
Round1,3,col4,nb,0,
Round1,3,col5,c,4,
Round1,3,col6,nb,5,
Round1,3,col7,nb,8,
Round1,3,col8,db,0,
Round1,4,col1,c,3,740
Round1,4,col2,db,1,836
Round1,4,col3,db,1,849
Round1,4,col4,nb,0,694
Round1,4,col5,c,5,782
Round1,4,col6,nb,2,698
Round1,4,col7,nb,4,645
Round1,4,col8,db,3,853
Round1,5,col1,c,1,
Round1,5,col2,db,1,
Round1,5,col3,db,2,
Round1,5,col4,nb,0,
Round1,5,col5,c,2,
Round1,5,col6,nb,6,
Round1,5,col7,nb,7,
Round1,5,col8,db,1,
Round1,6,col1,c,1,762
Round1,6,col2,db,2,865
Round1,6,col3,db,2,885
Round1,6,col4,nb,1,698
Round1,6,col5,c,2,817
Round1,6,col6,nb,7,705
Round1,6,col7,nb,7,652
Round1,6,col8,db,1,909
Round1,7,col1,c,2,
Round1,7,col2,db,2,
Round1,7,col3,db,2,
Round1,7,col4,nb,13,
Round1,7,col5,c,4,
Round1,7,col6,nb,4,
Round1,7,col7,nb,8,
Round1,7,col8,db,1,
Round1,8,col1,c,2,789
Round1,8,col2,db,5,918
Round1,8,col3,db,0,928
Round1,8,col4,nb,3,708
Round1,8,col5,c,5,847
Round1,8,col6,nb,2,723
Round1,8,col7,nb,3,658
Round1,8,col8,db,0,956
Round1,9,col1,c,2,
Round1,9,col2,db,3,
Round1,9,col3,db,0,
Round1,9,col4,nb,5,
Round1,9,col5,c,5,
Round1,9,col6,nb,3,
Round1,9,col7,nb,5,
Round1,9,col8,db,0,
Round1,10,col1,c,3,827
Round1,10,col2,db,5,1001
Round1,10,col3,db,4,1001
Round1,10,col4,nb,8,715
Round1,10,col5,c,3,900
Round1,10,col6,nb,5,730
Round1,10,col7,nb,6,664
Round1,10,col8,db,2,1037
Round1,11,col1,c,3,
Round1,11,col2,db,3,
Round1,11,col3,db,4,
Round1,11,col4,nb,3,
Round1,11,col5,c,2,
Round1,11,col6,nb,2,
Round1,11,col7,nb,3,
Round1,11,col8,db,0,
Round1,12,col1,c,3,871
Round1,12,col2,db,0,1075
Round1,12,col3,db,2,1063
Round1,12,col4,nb,4,727
Round1,12,col5,c,4,949
Round1,12,col6,nb,10,750
Round1,12,col7,nb,5,677
Round1,12,col8,db,0,1106
Round1,13,col1,c,5,
Round1,13,col2,db,4,
Round1,13,col3,db,4,
Round1,13,col4,nb,4,
Round1,13,col5,c,7,
Round1,13,col6,nb,5,
Round1,13,col7,nb,4,
Round1,13,col8,db,1,
Round1,14,col1,c,2,911
Round1,14,col2,db,5,1145
Round1,14,col3,db,4,1131
Round1,14,col4,nb,2,743
Round1,14,col5,c,2,989
Round1,14,col6,nb,1,757
Round1,14,col7,nb,4,687
Round1,14,col8,db,1,1135
Round1,15,col1,c,5,
Round1,15,col2,db,7,
Round1,15,col3,db,3,
Round1,15,col4,nb,1,
Round1,15,col5,c,0,
Round1,15,col6,nb,3,
Round1,15,col7,nb,7,
Round1,15,col8,db,1,
Round1,16,col1,c,3,972
Round1,16,col2,db,0,1249
Round1,16,col3,db,2,1186
Round1,16,col4,nb,0,755
Round1,16,col5,c,8,1047
Round1,16,col6,nb,4,778
Round1,16,col7,nb,4,714
Round1,16,col8,db,0,1190
Round1,17,col1,c,4,
Round1,17,col2,db,5,
Round1,17,col3,db,4,
Round1,17,col4,nb,0,
Round1,17,col5,c,5,
Round1,17,col6,nb,3,
Round1,17,col7,nb,1,
Round1,17,col8,db,0,
Round1,18,col1,c,3,1034
Round1,18,col2,db,1,1334
Round1,18,col3,db,3,1227
Round1,18,col4,nb,0,779
Round1,18,col5,c,6,1106
Round1,18,col6,nb,1,816
Round1,18,col7,nb,4,731
Round1,18,col8,db,2,1224
Round1,19,col1,c,6,
Round1,19,col2,db,1,
Round1,19,col3,db,2,
Round1,19,col4,nb,0,
Round1,19,col5,c,2,
Round1,19,col6,nb,4,
Round1,19,col7,nb,3,
Round1,19,col8,db,0,
Round1,20,col1,c,4,1106
Round1,20,col2,db,0,1434
Round1,20,col3,db,2,1313
Round1,20,col4,nb,0,814
Round1,20,col5,c,4,1160
Round1,20,col6,nb,0,854
Round1,20,col7,nb,6,768
Round1,20,col8,db,1,1271
Round1,21,col1,c,5,
Round1,21,col2,db,2,
Round1,21,col3,db,8,
Round1,21,col4,nb,1,
Round1,21,col5,c,6,
Round1,21,col6,nb,3,
Round1,21,col7,nb,6,
Round1,21,col8,db,0,
Round1,22,col1,c,5,1185
Round1,22,col2,db,1,1492
Round1,22,col3,db,5,1373
Round1,22,col4,nb,0,849
Round1,22,col5,c,5,1219
Round1,22,col6,nb,4,902
Round1,22,col7,nb,6,804
Round1,22,col8,db,4,1365
Round1,23,col1,c,4,
Round1,23,col2,db,0,
Round1,23,col3,db,3,
