Round,ColonyID,Colony,Treatment,All_Weight,All_weight_over100,C_weight,DB_weight,NB_weight,C_weight_less_100,DB_weight_less_100,NB_weight_less_100
Round1,179,col1,c,0.001,0.1003,0.1003,0.1001,0.1001,0.0008,0.0002,0.0012
Round1,179,col1,c,0.001,0.1003,0.1003,0.1002,0.1003,0.001,0.0005,0.0012
Round1,179,col1,c,0.0011,0.1004,0.1004,0.1009,0.1003,0.001,0.0005,0.0013
Round1,179,col1,c,0.0012,0.1005,0.1005,0.1009,0.1008,0.001,0.0005,0.0013
Round1,179,col1,c,0.0013,0.1008,0.1008,0.1009,0.1008,0.001,0.0005,0.0013
Round1,179,col1,c,0.0013,0.101,0.101,0.1011,0.1015,0.0011,0.0007,0.0014
Round1,179,col1,c,0.0017,0.1016,0.1016,0.1012,0.1017,0.0012,0.0007,0.0015
Round1,179,col1,c,0.0018,0.1018,0.1018,0.1019,0.1025,0.0012,0.0007,0.0015
Round1,179,col1,c,0.0019,0.1019,0.1019,0.102,0.1036,0.0012,0.0008,0.0015
Round1,179,col1,c,0.002,0.1019,0.1019,0.1023,0.1039,0.0012,0.0008,0.0016
Round1,179,col1,c,0.0024,0.102,0.102,0.1039,0.104,0.0012,0.001,0.0016
Round1,179,col1,c,0.0024,0.102,0.102,0.104,0.1041,0.0013,0.001,0.0017
Round1,179,col1,c,0.0028,0.1022,0.1022,0.1047,0.1045,0.0013,0.0011,0.0017
Round1,179,col1,c,0.0028,0.1022,0.1022,0.1061,0.1048,0.0013,0.0011,0.0017
Round1,179,col1,c,0.003,0.1024,0.1024,0.1068,0.1058,0.0014,0.0011,0.0018
Round1,179,col1,c,0.0036,0.1025,0.1025,0.1069,0.1059,0.0014,0.0011,0.0018
Round1,179,col1,c,0.0037,0.1026,0.1026,0.1099,0.1063,0.0014,0.0011,0.0018
Round1,179,col1,c,0.0038,0.1026,0.1026,0.1103,0.1067,0.0015,0.0011,0.0019
Round1,179,col1,c,0.0038,0.1027,0.1027,0.1107,0.1069,0.0015,0.0012,0.002
Round1,179,col1,c,0.0042,0.1027,0.1027,0.1109,0.1081,0.0015,0.0013,0.002
Round1,179,col1,c,0.0045,0.1027,0.1027,0.111,0.1093,0.0015,0.0014,0.002
Round1,179,col1,c,0.0046,0.1031,0.1031,0.112,0.1097,0.0015,0.0014,0.002
Round1,179,col1,c,0.0047,0.1032,0.1032,0.1127,0.1099,0.0015,0.0016,0.0021
Round1,179,col1,c,0.0049,0.1032,0.1032,0.1136,0.1111,0.0015,0.0016,0.0022
Round1,179,col1,c,0.005,0.1032,0.1032,0.1137,0.1115,0.0015,0.0017,0.0024
Round1,179,col1,c,0.0051,0.1033,0.1033,0.1142,0.1124,0.0016,0.0018,0.0024
Round1,179,col1,c,0.0053,0.1035,0.1035,0.1146,0.1125,0.0016,0.002,0.0025
Round1,179,col1,c,0.0054,0.1036,0.1036,0.1147,0.1133,0.0016,0.0022,0.0025
Round1,179,col1,c,0.0055,0.1036,0.1036,0.1155,0.1143,0.0016,0.0024,0.0025
Round1,179,col1,c,0.0056,0.1037,0.1037,0.116,0.1158,0.0017,0.0024,0.0026
Round1,179,col1,c,0.0056,0.1043,0.1043,0.1161,0.1159,0.0017,0.0025,0.0027
Round1,179,col1,c,0.006,0.1043,0.1043,0.1162,0.116,0.0017,0.0025,0.0027
Round1,179,col1,c,0.0061,0.1043,0.1043,0.1165,0.1173,0.0017,0.0025,0.0028
Round1,179,col1,c,0.0063,0.1044,0.1044,0.1171,0.1183,0.0017,0.0027,0.003
Round1,179,col1,c,0.009,0.1045,0.1045,0.1176,0.1193,0.0018,0.0028,0.0031
Round1,179,col1,c,0.0094,0.1046,0.1046,0.1178,0.1194,0.0018,0.003,0.0031
Round1,179,col1,c,0.0098,0.1053,0.1053,0.1182,0.1205,0.0018,0.003,0.0032
Round1,179,col1,c,0.0098,0.1057,0.1057,0.1191,0.1206,0.0019,0.0031,0.0033
Round1,179,col1,c,0.0098,0.1062,0.1062,0.1198,0.1206,0.0019,0.0032,0.0034
Round1,179,col1,c,0.0105,0.1062,0.1062,0.1201,0.1214,0.0019,0.0032,0.0035
Round1,179,col1,c,0.0111,0.1062,0.1062,0.1212,0.1217,0.0019,0.0034,0.0036
Round1,179,col1,c,0.0133,0.1065,0.1065,0.1215,0.122,0.002,0.0035,0.0036
Round1,179,col1,c,0.0138,0.1071,0.1071,0.122,0.1228,0.002,0.0037,0.0038
Round1,179,col1,c,0.0158,0.1075,0.1075,0.1221,0.1244,0.0023,0.0039,0.0038
Round1,179,col1,c,0.0177,0.1076,0.1076,0.1231,0.1246,0.0023,0.004,0.0039
Round1,179,col1,c,0.018,0.1076,0.1076,0.1239,0.1252,0.0024,0.004,0.004
Round1,179,col1,c,0.0185,0.1078,0.1078,0.1243,0.1255,0.0024,0.0042,0.004
Round1,179,col1,c,0.0186,0.108,0.108,0.1266,0.1262,0.0024,0.0043,0.0041
Round1,179,col1,c,0.0204,0.1081,0.1081,0.1277,0.1263,0.0024,0.0043,0.0041
Round1,179,col1,c,0.0205,0.1082,0.1082,0.1285,0.1266,0.0024,0.0046,0.0042
Round1,179,col1,c,0.0206,0.1083,0.1083,0.1286,0.1269,0.0024,0.0047,0.0042
Round1,179,col1,c,0.021,0.1085,0.1085,0.1296,0.1273,0.0025,0.0048,0.0043
Round1,179,col1,c,0.0213,0.1087,0.1087,0.1297,0.1273,0.0025,0.0048,0.0043
Round1,179,col1,c,0.0219,0.1092,0.1092,0.1298,0.1275,0.0027,0.0049,0.0044
Round1,179,col1,c,0.0222,0.1094,0.1094,0.132,0.1279,0.0027,0.0049,0.0044
Round1,179,col1,c,0.0227,0.1095,0.1095,0.1332,0.1282,0.0028,0.0049,0.0044
Round1,179,col1,c,0.0228,0.1098,0.1098,0.1333,0.1286,0.0028,0.0049,0.0045
Round1,179,col1,c,0.0229,0.1103,0.1103,0.1336,0.1291,0.0028,0.005,0.0046
Round1,179,col1,c,0.0233,0.1103,0.1103,0.1352,0.1294,0.0028,0.005,0.0046
Round1,179,col1,c,0.0234,0.1104,0.1104,0.1366,0.1296,0.0028,0.005,0.0047
Round1,179,col1,c,0.024,0.1115,0.1115,0.1369,0.1308,0.0028,0.0051,0.0048
Round1,179,col1,c,0.0243,0.1115,0.1115,0.137,0.1312,0.0028,0.0051,0.0049
Round1,179,col1,c,0.0254,0.1121,0.1121,0.1372,0.1321,0.0029,0.0051,0.0049
Round1,179,col1,c,0.0263,0.1122,0.1122,0.1388,0.1322,0.0029,0.0052,0.0049
Round1,179,col1,c,0.0266,0.1124,0.1124,0.1395,0.1322,0.0029,0.0053,0.005
Round1,179,col1,c,0.0267,0.1126,0.1126,0.1408,0.135,0.0029,0.0053,0.0051
Round1,179,col1,c,0.0268,0.1126,0.1126,0.144,0.1355,0.0029,0.0053,0.0051
Round1,179,col1,c,0.0277,0.1128,0.1128,0.1475,0.1365,0.003,0.0054,0.0052
Round1,179,col1,c,0.0279,0.113,0.113,0.1479,0.1375,0.003,0.0056,0.0052
Round1,179,col1,c,0.0288,0.1134,0.1134,0.1503,0.1377,0.003,0.0056,0.0053
Round1,179,col1,c,0.029,0.1134,0.1134,0.151,0.1379,0.0032,0.0057,0.0053
Round1,179,col1,c,0.03,0.1144,0.1144,0.1522,0.1385,0.0032,0.0057,0.0054
Round1,179,col1,c,0.0305,0.1154,0.1154,0.155,0.1388,0.0033,0.0058,0.0054
Round1,179,col1,c,0.0323,0.1154,0.1154,0.1567,0.1397,0.0033,0.0058,0.0054
Round1,179,col1,c,0.0324,0.1159,0.1159,0.1577,0.1407,0.0035,0.006,0.0054
Round1,179,col1,c,0.0331,0.1159,0.1159,0.1582,0.1409,0.0035,0.006,0.0055
Round1,179,col1,c,0.0334,0.116,0.116,0.1583,0.1425,0.0035,0.0061,0.0055
Round1,179,col1,c,0.0345,0.1162,0.1162,0.1586,0.143,0.0035,0.0062,0.0055
Round1,179,col1,c,0.0345,0.1163,0.1163,0.1589,0.1442,0.0036,0.0062,0.0056
Round1,179,col1,c,0.0366,0.1166,0.1166,0.159,0.1448,0.0036,0.0063,0.0056
Round1,179,col1,c,0.0372,0.1168,0.1168,0.1596,0.1449,0.0036,0.0063,0.0056
Round1,179,col1,c,0.0407,0.1168,0.1168,0.1598,0.1467,0.0037,0.0063,0.0057
Round1,179,col1,c,0.0428,0.1169,0.1169,0.1609,0.1472,0.0037,0.0064,0.0058
Round1,179,col1,c,0.045,0.1174,0.1174,0.1613,0.1477,0.0037,0.0064,0.0058
Round1,179,col1,c,0.0453,0.118,0.118,0.1631,0.1495,0.0037,0.0064,0.0058
Round1,179,col1,c,0.0455,0.1186,0.1186,0.1685,0.1496,0.0038,0.0065,0.0059
Round1,179,col1,c,0.046,0.1189,0.1189,0.1712,0.1505,0.0038,0.0066,0.0059
Round1,179,col1,c,0.0477,0.1192,0.1192,0.1725,0.1507,0.0038,0.0066,0.0059
Round1,179,col1,c,0.048,0.1194,0.1194,0.1735,0.151,0.0038,0.0068,0.0059
Round1,179,col1,c,0.0504,0.1196,0.1196,0.1773,0.151,0.0038,0.007,0.006
Round1,179,col1,c,0.0504,0.1199,0.1199,0.1784,0.1513,0.0039,0.007,0.0061
Round1,179,col1,c,0.0512,0.1203,0.1203,0.1786,0.1521,0.004,0.007,0.0061
Round1,179,col1,c,0.0523,0.1204,0.1204,0.18,0.1536,0.004,0.007,0.0062
Round1,179,col1,c,0.0526,0.1206,0.1206,0.1814,0.1545,0.004,0.0072,0.0062
Round1,179,col1,c,0.0528,0.121,0.121,0.187,0.1546,0.0041,0.0073,0.0063
Round1,179,col1,c,0.0539,0.1211,0.1211,0.1885,0.1554,0.0041,0.0074,0.0064
Round1,179,col1,c,0.0548,0.1213,0.1213,0.1893,0.1571,0.0041,0.0074,0.0066
Round1,179,col1,c,0.0559,0.1215,0.1215,0.1895,0.158,0.0041,0.0074,0.0066
Round1,179,col1,c,0.056,0.1229,0.1229,0.1903,0.1586,0.0041,0.0074,0.0066
Round1,179,col1,c,0.0566,0.1231,0.1231,0.1937,0.1587,0.0041,0.0075,0.0067
Round1,179,col1,c,0.0569,0.1245,0.1245,0.194,0.1587,0.0041,0.0075,0.0068
Round1,179,col1,c,0.0569,0.1249,0.1249,0.1959,0.1594,0.0041,0.0075,0.0068
Round1,179,col1,c,0.0572,0.1255,0.1255,0.2015,0.16,0.0041,0.0076,0.0072
Round1,179,col1,c,0.0581,0.1258,0.1258,0.2037,0.1601,0.0041,0.0077,0.0072
