Date_m,Round,Date,ColonyID,Colony,Treatment,Oocyte1,Oocyte2,Oocyte3,Average_oocyte
12-Mar,Round1,1,179,col1,c,0.15,0.15,0.1,0.133333333
12-Mar,Round1,1,179,col1,c,0.25,0.25,0.2,0.233333333
12-Mar,Round1,1,179,col1,c,0.5,0.5,0.4,0.466666667
12-Mar,Round1,1,179,col1,c,0.15,0.1,0.1,0.116666667
12-Mar,Round1,1,179,col1,c,0.5,0.5,0.5,0.5
12-Mar,Round1,1,179,col1,c,0.15,0.15,0.1,0.133333333
12-Mar,Round1,1,179,col1,c,1,0.5,0.5,0.666666667
12-Mar,Round1,1,179,col1,c,-,-,-,
12-Mar,Round1,1,179,col1,c,0.15,0.15,0.15,0.15
12-Mar,Round1,1,179,col1,c,-,-,-,
12-Mar,Round1,1,180,col2,db,2.5,2,2,2.166666667
12-Mar,Round1,1,180,col2,db,0.7,0.4,0.4,0.5
12-Mar,Round1,1,180,col2,db,0.5,0.5,0.5,0.5
12-Mar,Round1,1,180,col2,db,0.25,0.2,0.15,0.2
12-Mar,Round1,1,180,col2,db,0.2,0.15,0.15,0.166666667
12-Mar,Round1,1,180,col2,db,2.15,2,2,2.05
12-Mar,Round1,1,180,col2,db,0.1,0.1,0.1,0.1
12-Mar,Round1,1,180,col2,db,1,0.55,0.5,0.683333333
12-Mar,Round1,1,180,col2,db,0.15,0.1,0.1,0.116666667
12-Mar,Round1,1,180,col2,db,0.4,0.25,0.2,0.283333333
12-Mar,Round1,1,181,col3,db,0.15,0.15,0.1,0.133333333
12-Mar,Round1,1,181,col3,db,0.3,0.25,,0.275
12-Mar,Round1,1,181,col3,db,2.65,2.6,1.65,2.3
12-Mar,Round1,1,181,col3,db,3.1,2.6,2.4,2.7
12-Mar,Round1,1,181,col3,db,0.25,0.25,0.2,0.233333333
12-Mar,Round1,1,181,col3,db,0.4,0.3,0.3,0.333333333
12-Mar,Round1,1,181,col3,db,2.25,2,1.9,2.05
12-Mar,Round1,1,181,col3,db,0.55,0.5,0.4,0.483333333
12-Mar,Round1,1,181,col3,db,2.6,2.5,2.4,2.5
12-Mar,Round1,1,181,col3,db,3.5,3.45,2.5,3.15
12-Mar,Round1,1,182,col4,nb,0.35,0.35,0.3,0.333333333
12-Mar,Round1,1,182,col4,nb,0.1,0.1,0.1,0.1
12-Mar,Round1,1,182,col4,nb,0.1,0.1,0.05,0.083333333
12-Mar,Round1,1,182,col4,nb,2.75,2.75,2.25,2.583333333
12-Mar,Round1,1,182,col4,nb,0.45,0.4,0.35,0.4
12-Mar,Round1,1,182,col4,nb,0.5,0.45,0.4,0.45
12-Mar,Round1,1,182,col4,nb,2.9,2.75,2.65,2.766666667
12-Mar,Round1,1,182,col4,nb,0.15,0.15,0.1,0.133333333
12-Mar,Round1,1,182,col4,nb,2.35,1.9,1.9,2.05
12-Mar,Round1,1,182,col4,nb,3,3,3,3
12-Mar,Round1,1,183,col5,c,0.5,0.5,0.5,0.5
12-Mar,Round1,1,183,col5,c,0.55,0.5,0.5,0.516666667
12-Mar,Round1,1,183,col5,c,0.1,0.1,0.1,0.1
12-Mar,Round1,1,183,col5,c,0.1,0.1,0.1,0.1
12-Mar,Round1,1,183,col5,c,0.45,0.35,0.3,0.366666667
12-Mar,Round1,1,183,col5,c,0.3,0.25,0.15,0.233333333
12-Mar,Round1,1,183,col5,c,2.6,2.35,2.15,2.366666667
12-Mar,Round1,1,183,col5,c,3.35,1.65,1.65,2.216666667
12-Mar,Round1,1,183,col5,c,0.2,0.2,0.2,0.2
12-Mar,Round1,1,183,col5,c,0.2,0.15,0.15,0.166666667
12-Mar,Round1,1,184,col6,nb,0.15,0.1,,0.125
12-Mar,Round1,1,184,col6,nb,0.15,0.15,,0.15
12-Mar,Round1,1,184,col6,nb,0.3,0.3,0.3,0.3
12-Mar,Round1,1,184,col6,nb,0.1,0.1,0.1,0.1
12-Mar,Round1,1,184,col6,nb,0.25,0.2,0.2,0.216666667
12-Mar,Round1,1,184,col6,nb,0.15,0.15,0.15,0.15
12-Mar,Round1,1,184,col6,nb,0.5,0.45,0.45,0.466666667
12-Mar,Round1,1,184,col6,nb,0.1,0.1,0.1,0.1
12-Mar,Round1,1,184,col6,nb,0.4,0.35,0.35,0.366666667
12-Mar,Round1,1,184,col6,nb,0.5,0.5,0.35,0.45
12-Mar,Round1,1,185,col7,nb,0.1,0.1,0.05,0.083333333
12-Mar,Round1,1,185,col7,nb,0.2,0.2,0.2,0.2
12-Mar,Round1,1,185,col7,nb,0.4,0.35,0.3,0.35
12-Mar,Round1,1,185,col7,nb,3,2.5,1.75,2.416666667
12-Mar,Round1,1,185,col7,nb,3.2,3.15,1.9,2.75
12-Mar,Round1,1,185,col7,nb,0.1,0.1,0.1,0.1
12-Mar,Round1,1,185,col7,nb,0.2,0.2,0.15,0.183333333
12-Mar,Round1,1,185,col7,nb,-,-,-,
12-Mar,Round1,1,185,col7,nb,1.5,1.35,1,1.283333333
12-Mar,Round1,1,185,col7,nb,2.75,2,1.75,2.166666667
12-Mar,Round1,1,186,col8,db,0.55,0.55,0.5,0.533333333
12-Mar,Round1,1,186,col8,db,0.5,0.45,0.3,0.416666667
12-Mar,Round1,1,186,col8,db,0.15,0.1,,0.125
12-Mar,Round1,1,186,col8,db,1.9,1.75,1.35,1.666666667
12-Mar,Round1,1,186,col8,db,0.1,0.1,,0.1
12-Mar,Round1,1,186,col8,db,0.2,0.15,0.15,0.166666667
12-Mar,Round1,1,186,col8,db,0.25,0.2,0.15,0.2
12-Mar,Round1,1,186,col8,db,0.45,0.4,0.3,0.383333333
12-Mar,Round1,1,186,col8,db,0.2,0.2,0.15,0.183333333
12-Mar,Round1,1,186,col8,db,0.2,0.2,0.2,0.2
18-Mar,Round1,7,179,col1,c,0.3,0.3,0.2,0.266666667
18-Mar,Round1,7,179,col1,c,0.2,0.2,0.2,0.2
18-Mar,Round1,7,179,col1,c,0.5,0.4,0.4,0.433333333
18-Mar,Round1,7,179,col1,c,3.25,3.15,2.75,3.05
18-Mar,Round1,7,179,col1,c,0.35,0.3,0.3,0.316666667
18-Mar,Round1,7,179,col1,c,3.1,2.35,2.05,2.5
18-Mar,Round1,7,179,col1,c,-,-,-,
18-Mar,Round1,7,179,col1,c,-,-,-,
18-Mar,Round1,7,179,col1,c,-,-,-,
18-Mar,Round1,7,179,col1,c,-,-,-,
18-Mar,Round1,7,180,col2,db,0.45,0.4,0.35,0.4
18-Mar,Round1,7,180,col2,db,0.5,0.45,0.35,0.433333333
18-Mar,Round1,7,180,col2,db,3.1,2.75,2.65,2.833333333
18-Mar,Round1,7,180,col2,db,3.35,2.25,1.8,2.466666667
18-Mar,Round1,7,180,col2,db,0.25,0.25,0.2,0.233333333
18-Mar,Round1,7,180,col2,db,3.45,3.35,3.35,3.383333333
18-Mar,Round1,7,180,col2,db,0.4,0.4,0.4,0.4
18-Mar,Round1,7,180,col2,db,0.35,0.3,0.15,0.266666667
18-Mar,Round1,7,180,col2,db,0.2,0.15,0.15,0.166666667
18-Mar,Round1,7,180,col2,db,0.15,0.1,0.1,0.116666667
18-Mar,Round1,7,181,col3,db,0.2,0.2,0.15,0.183333333
18-Mar,Round1,7,181,col3,db,3,1.75,1.5,2.083333333
18-Mar,Round1,7,181,col3,db,3.4,3.25,3,3.216666667
18-Mar,Round1,7,181,col3,db,0.2,0.2,0.2,0.2
18-Mar,Round1,7,181,col3,db,3,2.25,1.8,2.35
18-Mar,Round1,7,181,col3,db,0.25,0.25,0.25,0.25
18-Mar,Round1,7,181,col3,db,3.5,3.25,2.9,3.216666667
18-Mar,Round1,7,181,col3,db,3.35,2.95,2.5,2.933333333
18-Mar,Round1,7,181,col3,db,3.15,2.45,2,2.533333333
18-Mar,Round1,7,181,col3,db,1.85,1.15,0.8,1.266666667
18-Mar,Round1,7,182,col4,nb,3,2.95,2.95,2.966666667
18-Mar,Round1,7,182,col4,nb,3.5,3.4,3,3.3
18-Mar,Round1,7,182,col4,nb,2.4,2.35,2.25,2.333333333
18-Mar,Round1,7,182,col4,nb,3.25,2.95,2.9,3.033333333
18-Mar,Round1,7,182,col4,nb,1.85,1.6,1.55,1.666666667
18-Mar,Round1,7,182,col4,nb,0.2,0.2,0.15,0.183333333
18-Mar,Round1,7,182,col4,nb,3.5,3.4,3.35,3.416666667
18-Mar,Round1,7,182,col4,nb,3.75,3.65,3.65,3.683333333
18-Mar,Round1,7,182,col4,nb,-,-,-,
18-Mar,Round1,7,182,col4,nb,-,-,-,
18-Mar,Round1,7,183,col5,c,0.15,0.1,0.1,0.116666667
18-Mar,Round1,7,183,col5,c,3.5,2.8,2.5,2.933333333
18-Mar,Round1,7,183,col5,c,0.3,0.25,0.25,0.266666667
18-Mar,Round1,7,183,col5,c,0.35,0.35,0.35,0.35
18-Mar,Round1,7,183,col5,c,3.25,3,2.8,3.016666667
18-Mar,Round1,7,183,col5,c,2.5,1.75,1.05,1.766666667
18-Mar,Round1,7,183,col5,c,2.9,2.75,2.75,2.8
18-Mar,Round1,7,183,col5,c,-,-,-,
